observation_date,CPALCY01JPM661N
1970-01-01,31.3565792822601
1970-02-01,31.4583863578519
1970-03-01,31.7638075846271
1970-04-01,32.0692288114024
1970-05-01,31.7638075846271
1970-06-01,31.7638075846271
1970-07-01,31.6620005090354
1970-08-01,31.5601934334436
1970-09-01,32.0692288114024
1970-10-01,32.7818783405447
1970-11-01,32.7818783405447
1970-12-01,33.0872995673199
1971-01-01,33.2909137185034
1971-02-01,33.2909137185034
1971-03-01,33.2909137185034
1971-04-01,33.6981420208704
1971-05-01,33.6981420208704
1971-06-01,34.0035632476457
1971-07-01,33.9017561720540
1971-08-01,33.6981420208704
1971-09-01,34.9198269279715
1971-10-01,34.9198269279715
1971-11-01,34.6144057011962
1971-12-01,34.6144057011962
1972-01-01,34.7162127767880
1972-02-01,34.8180198523797
1972-03-01,35.1234410791550
1972-04-01,35.4288623059303
1972-05-01,35.7342835327055
1972-06-01,35.8360906082973
1972-07-01,35.9378976838890
1972-08-01,36.2433189106643
1972-09-01,36.5487401374396
1972-10-01,36.6505472130313
1972-11-01,36.7523542886231
1972-12-01,37.0577755153983
1973-01-01,37.5668108933571
1973-02-01,37.7704250445406
1973-03-01,38.5848816492746
1973-04-01,39.0939170272334
1973-05-01,39.8065665563757
1973-06-01,40.0101807075592
1973-07-01,40.2137948587427
1973-08-01,40.6210231611097
1973-09-01,41.5372868414355
1973-10-01,41.4354797658437
1973-11-01,41.8427080682107
1973-12-01,42.9625858997200
1974-01-01,44.5914991091881
1974-02-01,45.9149910918809
1974-03-01,46.4240264698396
1974-04-01,47.6457113769407
1974-05-01,47.6457113769407
1974-06-01,48.0529396793077
1974-07-01,48.9692033596335
1974-08-01,49.3764316620005
1974-09-01,50.1908882667345
1974-10-01,51.3107660982438
1974-11-01,51.7179944006108
1974-12-01,52.0234156273861
1975-01-01,52.5324510053449
1975-02-01,52.5324510053449
1975-03-01,53.1432934588954
1975-04-01,54.0595571392212
1975-05-01,54.4667854415882
1975-06-01,54.4667854415882
1975-07-01,54.4667854415882
1975-08-01,54.4667854415882
1975-09-01,55.7902774242810
1975-10-01,56.6047340290150
1975-11-01,56.4011198778315
1975-12-01,56.4011198778315
1976-01-01,57.6228047849326
1976-02-01,58.0300330872996
1976-03-01,58.2336472384831
1976-04-01,59.5571392211759
1976-05-01,59.6589462967676
1976-06-01,59.5571392211759
1976-07-01,59.9643675235429
1976-08-01,59.3535250699924
1976-09-01,60.8806312038687
1976-10-01,61.4914736574192
1976-11-01,61.6950878086027
1976-12-01,62.3059302621532
1977-01-01,63.0185797912955
1977-02-01,63.4258080936625
1977-03-01,63.6294222448460
1977-04-01,64.5456859251718
1977-05-01,65.1565283787223
1977-06-01,64.8511071519470
1977-07-01,64.8511071519470
1977-08-01,65.0547213031306
1977-09-01,65.9709849834564
1977-10-01,66.3782132858234
1977-11-01,65.7673708322728
1977-12-01,65.6655637566811
1978-01-01,66.1745991346398
1978-02-01,66.5818274370069
1978-03-01,67.1926698905574
1978-04-01,68.1089335708832
1978-05-01,68.5161618732502
1978-06-01,67.7017052685162
1978-07-01,68.3125477220667
1978-08-01,68.3125477220667
1978-09-01,69.2288114023925
1978-10-01,69.4324255535760
1978-11-01,68.6179689488420
1978-12-01,68.7197760244337
1979-01-01,68.9233901756172
1979-02-01,68.6179689488420
1979-03-01,69.2288114023925
1979-04-01,70.0432680071265
1979-05-01,70.6541104606770
1979-06-01,70.3486892339018
1979-07-01,71.1631458386358
1979-08-01,70.2468821583100
1979-09-01,71.2649529142275
1979-10-01,72.2830236701451
1979-11-01,71.9776024433698
1979-12-01,72.2830236701451
1980-01-01,73.0974802748791
1980-02-01,73.3010944260626
1980-03-01,73.8101298040214
1980-04-01,75.0318147111224
1980-05-01,75.7444642402647
1980-06-01,76.0498854670400
1980-07-01,76.1516925426317
1980-08-01,75.8462713158564
1980-09-01,76.9661491473657
1980-10-01,77.1697632985492
1980-11-01,77.2715703741410
1980-12-01,77.0679562229575
1981-01-01,77.7806057520998
1981-02-01,77.8824128276915
1981-03-01,78.1878340544668
1981-04-01,78.5950623568338
1981-05-01,79.4095189615678
1981-06-01,79.6131331127513
1981-07-01,79.4095189615678
1981-08-01,78.6968694324256
1981-09-01,80.0203614151183
1981-10-01,80.1221684907101
1981-11-01,80.3257826418936
1981-12-01,80.4275897174854
1982-01-01,80.5293967930771
1982-02-01,80.5293967930771
1982-03-01,80.6312038686689
1982-04-01,81.3438533978111
1982-05-01,81.5474675489946
1982-06-01,81.6492746245864
1982-07-01,81.1402392466276
1982-08-01,81.7510817001781
1982-09-01,82.9727666072792
1982-10-01,83.1763807584627
1982-11-01,82.1583100025452
1982-12-01,82.2601170781369
1983-01-01,82.5655383049122
1983-02-01,82.2601170781369
1983-03-01,82.6673453805040
1983-04-01,83.0745736828710
1983-05-01,83.7872232120132
1983-06-01,83.1763807584627
1983-07-01,83.1763807584627
1983-08-01,82.8709595316874
1983-09-01,83.7872232120132
1983-10-01,84.3980656655638
1983-11-01,84.3980656655638
1983-12-01,83.8890302876050
1984-01-01,84.3980656655638
1984-02-01,85.0089081191143
1984-03-01,85.2125222702978
1984-04-01,85.5179434970730
1984-05-01,85.8233647238483
1984-06-01,85.0089081191143
1984-07-01,85.2125222702978
1984-08-01,84.6016798167472
1984-09-01,85.8233647238483
1984-10-01,86.3324001018071
1984-11-01,86.1287859506236
1984-12-01,86.2305930262153
1985-01-01,86.8414354797658
1985-02-01,86.4342071773988
1985-03-01,86.9432425553576
1985-04-01,87.4522779333164
1985-05-01,87.5540850089081
