Date,S&P500,DowJones,MSCI_World,Nikkei_225,VIX_Index_Price,Dollar_Price_in_Yen,JPY_Volatility_in_%,Bonds_10Y2Y,Bonds_10Y3M
1997-01-24,770.52001953125,6696.47998046875,826.0,17689.359375,18.450000762939453,118.9,-0.34,0.57,1.48
1997-01-27,765.02001953125,6660.68994140625,819.9000244140625,17334.900390625,20.170000076293945,119.5,0.5,0.58,1.48
1997-01-28,765.02001953125,6656.080078125,812.5999755859375,17796.5703125,19.959999084472656,121.05,1.3,0.6,1.46
1997-01-29,772.5,6740.740234375,812.4000244140625,18335.30078125,20.600000381469727,122.16,0.92,0.59,1.45
1997-01-30,784.1699829101562,6823.85986328125,816.7999877929688,17864.0390625,19.809999465942383,121.78,-0.31,0.6,1.43
1997-01-31,786.1599731445312,6813.08984375,822.2999877929688,18330.009765625,19.469999313354492,121.4,-0.31,0.59,1.38
1997-02-03,786.72998046875,6806.16015625,829.0999755859375,18085.94921875,19.889999389648438,121.64,0.2,0.58,1.35
1997-02-04,789.260009765625,6833.47998046875,828.5,18314.330078125,19.59000015258789,122.43,0.65,0.57,1.35
1997-02-05,778.280029296875,6746.89990234375,830.7999877929688,18185.970703125,19.549999237060547,123.35,0.75,0.56,1.34
1997-02-06,780.1500244140625,6773.06005859375,824.5999755859375,18038.4296875,20.579999923706055,123.73,0.31,0.58,1.35
1997-02-07,789.5599975585938,6855.7998046875,824.7000122070312,17867.0390625,18.81999969482422,122.9,-0.67,0.57,1.29
1997-02-10,785.4299926757812,6806.5400390625,828.0,18181.169921875,19.649999618530273,122.75,-0.12,0.56,1.26
1997-02-11,789.5900268554688,6858.10986328125,831.7000122070312,18314.0,20.309999465942383,123.3,0.45,0.55,1.29
1997-02-12,802.77001953125,6961.6298828125,832.5,18409.9609375,19.56999969482422,124.22,0.75,0.49,1.23
1997-02-13,811.8200073242188,7022.43994140625,839.0999755859375,18688.060546875,19.299999237060547,124.35,0.1,0.49,1.19
1997-02-14,808.47998046875,6988.9599609375,844.7000122070312,18722.0,19.209999084472656,124.3,-0.04,0.49,1.18
1997-02-17,816.2899780273438,7067.4599609375,843.5,18470.75,19.760000228881836,124.3,0.0,0.48,1.16
1997-02-18,816.2899780273438,7067.4599609375,843.5,18470.75,19.760000228881836,123.85,-0.36,0.48,1.16
1997-02-19,812.489990234375,7020.1298828125,846.0999755859375,18599.119140625,19.940000534057617,124.43,0.47,0.48,1.19
1997-02-20,802.7999877929688,6927.3798828125,844.5999755859375,19051.7109375,20.93000030517578,122.42,-1.62,0.53,1.28
1997-02-21,801.77001953125,6931.6201171875,843.4000244140625,19034.5390625,21.290000915527344,123.25,0.68,0.51,1.27
1997-02-24,810.280029296875,7008.2001953125,844.5,18896.990234375,20.940000534057617,122.18,-0.87,0.5,1.23
1997-02-25,812.030029296875,7037.830078125,851.0,19070.0703125,20.110000610351562,121.6,-0.47,0.5,1.27
1997-02-26,805.6799926757812,6983.18017578125,854.4000244140625,18990.919921875,19.399999618530273,122.02,0.35,0.5,1.34
1997-02-27,795.0700073242188,6925.06982421875,847.9000244140625,19021.560546875,20.43000030517578,120.62,-1.15,0.49,1.36
1997-02-28,790.8200073242188,6877.740234375,843.7000122070312,18557.0,21.549999237060547,120.1,-0.43,0.47,1.34
1997-03-03,795.3099975585938,6918.919921875,837.4000244140625,18429.130859375,21.889999389648438,121.24,0.95,0.47,1.34
