"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.403111122046","63.3124328955868","69.9055518561123","73.009213039443","79.3904680099867","80.3954345019521","76.3437383311961","74.0172045020255","75.374684957684","83.2694929587693","82.1135986168626","","",
"Andorra","AND","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8455540161345","","","","","","","","","","",
"Argentina","ARG","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.0284206863703","63.4012140067668","60.080359768226","46.5518986672351","",
"American Samoa","ASM","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2277270537071","11.9189735168701","14.1455474152493","17.8742112597108","20.1887653741553","","","","","31.0660703401538","29.5228121217974","27.6933059278882","25.8835396049421","25.0737136225763","22.8610710239339","22.4060502981278","21.439297308383","20.0957188232021","18.1805465955822","23.8686549747471","28.6621010272305","30.0934479304635","39.43866550466","37.5557499617872","41.7128890194693","46.4657885326389","54.6443021310045","53.2642217874726","54.429696919754","60.141986685415","69.2190559498699","69.9077170244066","57.9747482128782","",
"Austria","AUT","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.2128955433926","64.739782238816","65.1858555045077","67.8118732502167","66.79101912401","66.461797580061","74.30583792512","70.4226107810545","66.7566818651461","71.9382577543835","83.3316518773762","85.7862698271937","85.6965073785828","90.6003878073782","87.6965992426296","95.7996292737297","95.0842658810954","94.6946369620698","89.4054088474265","84.2154918852706","83.1199712126882","99.9069018788335","94.6386773592887","75.0511764249729","",
"Azerbaijan","AZE","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.57653797474662","6.29501240116287","6.38557579182856","","","","","","","","","","22.2547572890445","16.8684980773192","","",
"Burundi","BDI","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125.576590944464","127.330165011394","124.101334701475","126.005664754856","115.121171084744","109.647472082346","108.917591351373","108.346201520725","102.199608448661","98.0987970607766","96.7545771933543","89.3755663540236","83.4782314885846","91.3008843889572","95.9430277968126","93.20645439648","95.5707643463826","104.028499314949","101.564361030942","112.304162316943","108.581648555561","110.182122739998","103.864720409449","101.383151729774","103.366617035956","119.269436525922","108.010287582684","94.0394321446935","",
"Benin","BEN","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.5738610534927","47.0623633767648","73.3851925590032","55.7360104785456","62.5256094250825","",
"Bangladesh","BGD","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.4618431575804","31.863991518402","31.2044521104432","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.7466305226017","66.4559059688529","61.5724582647108","61.3339831607689","52.8814825755667","47.3999186252732","40.1767206503232","31.137940040717","27.7378918497081","24.1229128424502","17.9676324294207","20.1600090951992","20.5891365271305","19.4817178682192","21.7962168477584","22.0539393235951","32.502485392112","30.8515489533678","35.5441105426955","32.2350541351225","28.6991536122233","26.9361706621943","32.2605923152431","32.8959215593774","30.2989573096495","",
"Bahrain","BHR","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.67539435484166","14.4052165631514","18.732405446645","17.0153363819107","15.7248022647076","14.9389566082491","13.9070398716136","14.916205663568","18.6135552828644","20.8358032721467","25.7450148929614","27.1047836328351","28.3796671065326","32.4533576041094","29.3985591955441","","20.2540605565848","7.54545632569935","7.2926256555605","15.6294022913075","30.3067895852274","35.9360986783734","37.0124780418691","43.937803845412","45.3329594751541","63.4862586001237","74.1461564153207","81.4232590475919","88.2397182295153","95.5988502156885","115.517115830258","","","",
"Bahamas, The","BHS","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.4188250157928","27.9767032232351","30.6304277902863","34.4340232858991","34.8665234734581","33.9982502187227","34.2227763923525","21.7237964992515","20.9517328580084","19.6411443712608","18.7520042790972","","","","","","22.7774542844919","22.9908535609144","25.45550066502","30.908208407968","33.6922817103418","35.306429206242","36.4494930273775","45.1087073625887","47.0213593825462","48.2985803510997","50.7851444432146","53.5285411916611","57.413679671523","57.8283830918394","82.2560302493445","87.3903316559467","82.1595539606932","",
"Bosnia and Herzegovina","BIH","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.5195207622881","49.1277416951012","45.9423173273857","49.9721327658431","","47.9464843734727","44.9707410575055","40.8307023863761","40.2659671523858","44.7333631556201","45.3808625595589","39.9273079688229","",
"Belarus","BLR","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.7608695652174","5.18781725888325","75.9557129208116","16.8800606245315","11.5201288580528","12.1714690728675","20.1805426390813","15.103117448937","15.0144518163306","11.440616774975","12.3366860124798","","","6.57022058767027","6.64440183178372","8.9092608163614","10.6566343685377","18.5574619808712","18.905245726907","39.4168108447656","24.4293134230567","23.8372955552391","24.5488085208305","37.5980986022908","38.9240984107258","39.8801799561221","37.0956460104644","33.2442286168097","38.5890332685462","","","",
"Belize","BLZ","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.2422386417637","21.4098660890758","24.626052776032","26.3698068825761","28.0507552256555","27.5787888596941","29.3636466067726","","","","","","50.5876919387849","66.8659374693156","78.8986244752784","69.9758083085732","67.3661814427559","64.3605989367381","62.2672540359032","65.2025499554082","64.4043258594355","62.8493472104622","61.7043956141552","61.5405181138477","61.4075232145145","","","","","","","","","",
"Bermuda","BMU","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.1717241709186","57.4113793922892","47.8828066229933","46.5365054086561","47.0751925934341","56.2575829839375","60.1091977404058","68.3398527645303","","","","","","","","","","","","","","","","","","","","","","",
"Brazil","BRA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.3187804611479","59.3416583014604","59.8494899958247","57.228409380258","58.4572711058609","67.5375540277116","73.4188038096758","83.6692026509366","86.6078841199146","92.5652531882782","98.7098819546545","85.0115036701985","79.1023218878495","",
"Barbados","BRB","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.7916238643802","62.3690591999655","66.8016267359889","71.0883224744168","86.8542626598636","95.623895023185","100.146380934824","112.466437998103","120.063970603134","129.203320926535","141.021450959735","146.460053419506","","","","","","","",
"Brunei Darussalam","BRN","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.3463593281007","49.386292649567","47.4833533625875","40.9407963084292","34.4420204367148","28.2639492340235","37.853277255727","31.9367467746927","31.0826268923135","36.0933589086497","37.2923933577388","67.1679909951713","54.1217805841119","65.6287612724923","71.8993384935838","75.6957100342792","71.297555656776","59.811072814383","57.6965298565065","53.9367496631031","51.9971689368802","58.7160359121262","68.1775995291852","90.3688626031786","86.3107754683253","82.2877949290323","93.6729186761046","95.778681078203","95.8478211479854","90.3573579145511","111.007897266318","","","",
"Botswana","BWA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3711032492715","12.1168020575228","12.5321505732804","12.4450599461028","12.0423976352474","10.972076070214","11.1567555492122","","","","","","","","","","6.02356808660498","5.9431764131185","8.00402997376666","19.2517818685668","21.8862970525722","21.0743622822987","20.6231807851092","19.0163812887175","18.3257336074772","19.086977673602","15.8049523139869","14.6807691758665","15.2307151442609","16.193904309718","19.6160814562101","","","",
"Central African Republic","CAF","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.5773377752153","67.2612083964473","70.5124743192156","74.9982932572282","75.7424504906739","77.3126219756355","78.0386679289258","74.9284095733244","72.4827997563099","66.2372993014306","58.7291139835615","57.45556055516","54.1475277857596","51.2582666396757","46.7962692891645","45.9990447201797","43.2098245726573","39.0581620881559","44.9022353111572","52.9733334860698","52.9509389296574","53.7599848483397","54.6237559551337","51.1489295039714","48.8645278427909","51.6720909225187","52.5783090179227","50.7838072801558","48.9489513667479","48.5849747769998","69.858583056447","65.5991383813981","56.0929929346043","",
"Central Europe and the Baltics","CEB","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.3337594745289","38.5252815989086","38.0834609762367","38.8632948688765","40.962671101478","41.5816212813758","40.3695879456094","39.9734059465522","39.3444173766138","37.9645918059716","39.5921746215113","46.1273293854219","50.3902345187777","52.7478812112599","57.6790659222509","59.7120384569591","60.6139650288605","59.395824124965","60.658477219703","56.9319451468504","54.3953500913792","53.2413388376139","66.3207557954997","61.5808832130993","53.9805667007551","",
"Switzerland","CHE","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.3036194538813","13.017745546983","15.2126137239088","18.3741786565578","19.9789500758172","22.4079181932274","22.8185718786599","24.6715356196923","26.9046270119941","24.8009191572316","25.6271702324183","24.5543004659954","29.6736851195577","28.7122723441952","29.2262405558528","29.2716353439696","25.6788674752956","23.481463447625","23.187572873151","21.8153122182892","21.1733554018787","21.3543044442593","21.3360511824389","20.3244230496539","20.5629413042089","20.4487166218481","19.4149287511103","20.3525254129243","18.7631611916975","19.0835115411314","20.9267596240808","20.0730085227584","18.1544953419673","",
"Channel Islands","CHI","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3723157704948","14.5844761380754","12.7798231847066","12.1152964040195","13.2770070103556","13.1456400045595","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171.065442627283","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.6686948009612","48.8665341962956","58.646137344434","48.5973153695346","106.500522736019","106.280979179561","","","84.8102640173471","79.4576584012943","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","289.844727083008","113.584666666667","128.444708097928","104.00210747895","169.786611378329","232.936231054902","243.595506269697","152.187001902338","","","","","","","","","","","","","","","","","","","","","","","","","15.9896968122357","",
"Congo, Rep.","COG","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.2269417189103","25.4826844740907","","","","","","","","","","","","","",
"Colombia","COL","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.768952783461","47.520522071261","52.9552257575055","66.5252086592451","66.4502971170521","71.3298940708726","72.3271161212972","90.7463536034683","80.0350169052408","69.8732040763918","",
"Comoros","COM","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.0982111795656","30.1790308643986","40.2051024300097","40.1048029042645","38.5018488682379","39.3351119117989","","","","","","","","","","","","","","","","","","","","","71.1115764129093","",
"Caribbean small states","CSS","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","142.792980925393","145.049758020578","145.752398480389","149.75991960518","157.636326589889","163.994766358996","164.581246465626","164.130004942386","155.247378202285","145.201225663547","132.361564930926","89.2155457422195","92.5830503033046","105.437505901252","119.074798880473","149.712488884637","158.993614237629","157.015831284987","151.28040578493","142.335943654633","148.525655827575","147.160718956891","175.146453278432","152.655286523428","125.922291824171","",
"Czechia","CZE","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.23484112205","18.9256199447577","20.0083476896554","25.3137690830149","27.0141160364506","28.9942949269192","28.864866830973","28.1328743204059","28.1188462596162","27.4288365975884","29.7713747198765","36.0128163628639","40.1323859780058","42.9108172836084","51.8711823585345","51.3736446099038","50.305423715865","47.7725928561947","44.4105983210312","40.8588144620068","38.3434234112355","36.6440081650723","45.6168723401162","47.2826781793951","46.8228201396193","",
"Germany","DEU","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.7325009458948","23.8661974313479","27.0942206534962","27.1503921729387","","","","38.7734434725628","40.460941596908","42.2408716555481","40.2535281283659","41.8376157807581","42.9838530998341","44.0854003500522","45.8555440477907","44.0910158149831","41.571482866916","44.5214000447675","48.4872410282411","56.631687724224","55.6957706529648","57.1109637891531","54.2618315044374","54.6997537088846","51.5931967034347","49.9010763253093","47.8698319029371","46.0028228022998","44.6508602203154","55.0711131611497","54.4796472653388","44.5288265352184","",
"Djibouti","DJI","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Central government debt, total (% of GDP)","GC.DOD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
