DATE,LCEAMN01JPM661S
1973-04-01,24.81934
1973-05-01,25.915770000000002
1973-06-01,26.713179999999998
1973-07-01,26.01545
1973-08-01,26.31448
1973-09-01,27.21156
1973-10-01,27.709940000000003
1973-11-01,28.308000000000003
1973-12-01,30.89958
1974-01-01,27.709940000000003
1974-02-01,28.906059999999997
1974-03-01,29.10541
1974-04-01,30.99925
1974-05-01,34.587590000000006
1974-06-01,35.28532
1974-07-01,35.28532
1974-08-01,34.68727
1974-09-01,34.38824
1974-10-01,34.587590000000006
1974-11-01,35.385
1974-12-01,37.27884
1975-01-01,35.7837
1975-02-01,35.883379999999995
1975-03-01,36.18241
1975-04-01,36.28208
1975-05-01,36.18241
1975-06-01,35.883379999999995
1975-07-01,39.57139
1975-08-01,38.37528
1975-09-01,38.77398
1975-10-01,38.97334
1975-11-01,38.87366
1975-12-01,39.47172
1976-01-01,40.26913
1976-02-01,41.06653
1976-03-01,41.06653
1976-04-01,41.664590000000004
1976-05-01,41.56491
1976-06-01,40.66783
1976-07-01,42.96038
1976-08-01,42.66135
1976-09-01,43.159729999999996
1976-10-01,43.75779
1976-11-01,43.857459999999996
1976-12-01,44.256170000000004
1977-01-01,44.45552
1977-02-01,44.85423
1977-03-01,45.05358
1977-04-01,45.55196
1977-05-01,45.85098
1977-06-01,45.55196
1977-07-01,46.24969
1977-08-01,46.34937
1977-09-01,46.74807
1977-10-01,47.0471
1977-11-01,47.146770000000004
1977-12-01,47.24645
1978-01-01,47.944179999999996
1978-02-01,48.14353
1978-03-01,48.44256
1978-04-01,48.641909999999996
1978-05-01,48.24321
1978-06-01,48.44256
1978-07-01,48.54224
1978-08-01,47.944179999999996
1978-09-01,49.63868
1978-10-01,49.73835
1978-11-01,50.23673
1978-12-01,49.63868
1979-01-01,50.13705
1979-02-01,51.03414
1979-03-01,51.43284
1979-04-01,51.33317
1979-05-01,51.73187
1979-06-01,51.93122
1979-07-01,51.53252
1979-08-01,54.9215
1979-09-01,52.927980000000005
1979-10-01,53.12733000000001
1979-11-01,53.12733000000001
1979-12-01,53.82507
1980-01-01,54.223769999999995
1980-02-01,54.62248
1980-03-01,54.9215
1980-04-01,55.220530000000004
1980-05-01,55.91826999999999
1980-06-01,56.01794
1980-07-01,56.217290000000006
1980-08-01,58.70919
1980-09-01,56.51631999999999
1980-10-01,56.715680000000006
1980-11-01,57.114380000000004
1980-12-01,57.41341
1981-01-01,57.81211
1981-02-01,57.612759999999994
1981-03-01,57.51308
1981-04-01,58.21082
1981-05-01,58.80887
1981-06-01,58.21082
1981-07-01,60.80239
1981-08-01,60.104659999999996
1981-09-01,59.5066
1981-10-01,60.00498
1981-11-01,60.403690000000005
1981-12-01,61.001740000000005
1982-01-01,60.70271999999999
1982-02-01,60.80239
1982-03-01,60.80239
1982-04-01,61.001740000000005
1982-05-01,61.9985
1982-06-01,61.5998
1982-07-01,61.500130000000006
1982-08-01,65.58685
1982-09-01,62.496880000000004
1982-10-01,62.59656
1982-11-01,62.39721
1982-12-01,63.393969999999996
1983-01-01,62.99527
1983-02-01,63.19461999999999
1983-03-01,63.59332
1983-04-01,63.59332
1983-05-01,63.19461999999999
1983-06-01,64.09170999999999
1983-07-01,64.19138000000001
1983-08-01,63.693000000000005
1983-09-01,64.49041
1983-10-01,64.68975999999999
1983-11-01,65.28781
1983-12-01,64.78944
1984-01-01,65.18814
1984-02-01,65.68652
1984-03-01,66.28458
1984-04-01,66.28458
1984-05-01,66.08521999999999
1984-06-01,66.1849
1984-07-01,67.48069
1984-08-01,64.59008
1984-09-01,66.88263
1984-10-01,67.08199
1984-11-01,67.18166
1984-12-01,67.28133000000001
1985-01-01,67.48069
1985-02-01,67.68004
1985-03-01,67.58036
1985-04-01,68.2781
1985-05-01,68.47745
1985-06-01,68.77646999999999
1985-07-01,67.68004
1985-08-01,69.87291
1985-09-01,68.77646999999999
1985-10-01,68.87615
1985-11-01,69.17518000000001
1985-12-01,69.57388
1986-01-01,69.57388
