Date,CPI_USA_Index,CPI_Japan_Index,USA_WageH_Dollar,Japan_WageH_Dollar,USA_GDP_Dollar_Capita,Japan_GDP_Dollar_Capita
1994-07-01,148.4,101.094426062611,60.3919,83.12983,41106.988184368,29466.7552451756
1994-08-01,149.0,101.60346144057,60.54261999999999,86.91752,41710.8207249566,30171.1637924347
1994-09-01,149.3,101.908882667345,60.7436,89.50909,41710.8207249566,30171.1637924347
1994-10-01,149.4,102.417918045304,60.844080000000005,89.70845,41710.8207249566,30171.1637924347
1994-11-01,149.8,102.112496818529,61.04505,90.50586,41710.8207249566,30171.1637924347
1994-12-01,150.1,101.60346144057,61.14554,88.41266,41710.8207249566,30171.1637924347
1995-01-01,150.5,101.705268516162,61.29626,90.10715,41710.8207249566,30171.1637924347
1995-02-01,150.9,101.399847289387,61.497240000000005,90.3065,41710.8207249566,30171.1637924347
1995-03-01,151.2,101.399847289387,61.497240000000005,90.50586,41710.8207249566,30171.1637924347
1995-04-01,151.8,101.501654364978,61.54748000000001,90.90456,41710.8207249566,30171.1637924347
1995-05-01,152.1,101.705268516162,61.69821,90.90456,41710.8207249566,30171.1637924347
1995-06-01,152.4,101.501654364978,61.84894,92.99776,41710.8207249566,30171.1637924347
1995-07-01,152.6,100.99261898702,62.25088,89.30975,41710.8207249566,30171.1637924347
1995-08-01,152.9,101.196233138203,62.30112,87.31622,42783.8165697826,31046.1701544648
1995-09-01,153.1,101.807075591754,62.35136,91.30326,42783.8165697826,31046.1701544648
1995-10-01,153.5,101.501654364978,62.50209,91.50262,42783.8165697826,31046.1701544648
1995-11-01,153.7,101.094426062611,62.55234,91.30326,42783.8165697826,31046.1701544648
1995-12-01,153.9,101.094426062611,62.75331,92.89808,42783.8165697826,31046.1701544648
1996-01-01,154.7,101.196233138203,63.305980000000005,89.40942,42783.8165697826,31046.1701544648
1996-02-01,155.0,101.094426062611,63.10501,92.49937,42783.8165697826,31046.1701544648
1996-03-01,155.5,101.196233138203,62.80355,92.79841,42783.8165697826,31046.1701544648
1996-04-01,156.1,101.705268516162,63.75816,92.69873,42783.8165697826,31046.1701544648
1996-05-01,156.4,101.807075591754,63.85865,92.79841,42783.8165697826,31046.1701544648
1996-06-01,156.7,101.399847289387,64.10986,93.39646,42783.8165697826,31046.1701544648
1996-07-01,157.0,101.399847289387,64.31084,93.29678,42783.8165697826,31046.1701544648
1996-08-01,157.2,101.196233138203,64.41131999999999,94.09419,44151.6860414367,31276.1930771932
1996-09-01,157.7,101.399847289387,64.56205,93.79517,44151.6860414367,31276.1930771932
1996-10-01,158.2,101.501654364978,64.46155999999999,93.79517,44151.6860414367,31276.1930771932
1996-11-01,158.7,101.196233138203,64.71278000000001,93.49614,44151.6860414367,31276.1930771932
1996-12-01,159.1,101.298040213795,65.06448,94.8916,44151.6860414367,31276.1930771932
1997-01-01,159.4,101.196233138203,65.26545,97.48318,44151.6860414367,31276.1930771932
1997-02-01,159.7,101.094426062611,65.26545,94.8916,44151.6860414367,31276.1930771932
1997-03-01,159.8,101.196233138203,65.51666,94.79192,44151.6860414367,31276.1930771932
1997-04-01,159.9,102.926953423263,65.46642,94.99128,44151.6860414367,31276.1930771932
1997-05-01,159.9,103.232374650038,65.66739,95.19063,44151.6860414367,31276.1930771932
1997-06-01,160.2,103.232374650038,65.76788,95.88836,44151.6860414367,31276.1930771932
1997-07-01,160.4,102.825146347671,65.81812,96.9848,44151.6860414367,31276.1930771932
1997-08-01,160.8,102.825146347671,66.16982,96.68577,45596.4306843475,30795.0888900928
1997-09-01,161.2,103.639602952405,66.22006,94.79192,45596.4306843475,30795.0888900928
1997-10-01,161.5,103.94502417918,66.77274,94.79192,45596.4306843475,30795.0888900928
1997-11-01,161.7,103.232374650038,66.97371,94.99128,45596.4306843475,30795.0888900928
1997-12-01,161.8,103.130567574446,67.07419,97.08447,45596.4306843475,30795.0888900928
1998-01-01,162.0,103.232374650038,67.02395,96.48642,45596.4306843475,30795.0888900928
1998-02-01,162.0,103.130567574446,67.27516,94.69225,45596.4306843475,30795.0888900928
1998-03-01,162.0,103.435988801222,67.47614,94.39322,45596.4306843475,30795.0888900928
1998-04-01,162.2,103.639602952405,67.32540999999999,94.29355,45596.4306843475,30795.0888900928
1998-05-01,162.6,104.046831254772,67.57661999999999,94.79192,45596.4306843475,30795.0888900928
1998-06-01,162.8,103.639602952405,67.47614,95.78869,45596.4306843475,30795.0888900928
1998-07-01,163.2,102.825146347671,67.02395,95.29031,45596.4306843475,30795.0888900928
1998-08-01,163.4,102.723339272079,67.62686,93.99451,47234.2455275229,30636.266116943
1998-09-01,163.5,103.537795876813,67.92832,94.39322,47234.2455275229,30636.266116943
1998-10-01,163.9,104.352252481547,67.92832,94.79192,47234.2455275229,30636.266116943
1998-11-01,164.1,104.250445405956,68.02881,96.18739,47234.2455275229,30636.266116943
1998-12-01,164.4,103.94502417918,68.1293,93.99451,47234.2455275229,30636.266116943
1999-01-01,164.7,103.33418172563,68.28002,93.89484,47234.2455275229,30636.266116943
1999-02-01,164.7,102.926953423263,68.48100000000001,94.59258,47234.2455275229,30636.266116943
1999-03-01,164.8,103.028760498855,68.78245,94.79192,47234.2455275229,30636.266116943
1999-04-01,165.9,103.435988801222,68.98342,94.79192,47234.2455275229,30636.266116943
1999-05-01,166.0,103.435988801222,69.33511999999999,94.59258,47234.2455275229,30636.266116943
1999-06-01,166.0,103.232374650038,69.63656999999999,91.80164,47234.2455275229,30636.266116943
1999-07-01,166.7,102.723339272079,69.88779,93.29678,47234.2455275229,30636.266116943
1999-08-01,167.1,103.028760498855,70.03851999999999,94.39322,48616.25462578,31430.6311303282
1999-09-01,167.8,103.435988801222,70.28973,95.38998,48616.25462578,31430.6311303282
1999-10-01,168.1,103.435988801222,70.28973,95.38998,48616.25462578,31430.6311303282
1999-11-01,168.4,102.926953423263,70.39022,95.98804,48616.25462578,31430.6311303282
1999-12-01,168.8,102.519725120896,70.64143,93.09743,48616.25462578,31430.6311303282
2000-01-01,169.3,102.316110969712,70.99313000000001,96.5861,48616.25462578,31430.6311303282
