DATE,USAHOUREAMISMEI
1973-03-01,19.494220000000002
1973-04-01,19.64495
1973-05-01,19.74544
1973-06-01,19.84592
1973-07-01,19.99665
1973-08-01,20.09714
1973-09-01,20.24786
1973-10-01,20.34835
1973-11-01,20.44884
1973-12-01,20.54932
1974-01-01,20.59957
1974-02-01,20.75029
1974-03-01,20.85078
1974-04-01,20.901020000000003
1974-05-01,21.35321
1974-06-01,21.60442
1974-07-01,21.75515
1974-08-01,22.00636
1974-09-01,22.20733
1974-10-01,22.50879
1974-11-01,22.55904
1974-12-01,22.70976
1975-01-01,22.81025
1975-02-01,23.01122
1975-03-01,23.262439999999998
1975-04-01,23.262439999999998
1975-05-01,23.362920000000003
1975-06-01,23.51365
1975-07-01,23.664379999999998
1975-08-01,23.86535
1975-09-01,24.01608
1975-10-01,24.11656
1975-11-01,24.26729
1975-12-01,24.418020000000002
1976-01-01,24.61899
1976-02-01,24.819960000000002
1976-03-01,25.02094
1976-04-01,25.02094
1976-05-01,25.32239
1976-06-01,25.47312
1976-07-01,25.67409
1976-08-01,25.92531
1976-09-01,26.126279999999998
1976-10-01,26.07603
1976-11-01,26.37749
1976-12-01,26.578459999999996
1977-01-01,26.879920000000002
1977-02-01,26.930159999999997
1977-03-01,27.13113
1977-04-01,27.38235
1977-05-01,27.58332
1977-06-01,27.834529999999997
1977-07-01,28.03551
1977-08-01,28.18623
1977-09-01,28.387209999999996
1977-10-01,28.588179999999998
1977-11-01,28.7389
1977-12-01,28.88963
1978-01-01,29.29158
1978-02-01,29.4423
1978-03-01,29.542790000000004
1978-04-01,29.794
1978-05-01,29.94473
1978-06-01,30.19595
1978-07-01,30.447159999999997
1978-08-01,30.597890000000003
1978-09-01,30.89935
1978-10-01,31.15056
1978-11-01,31.45202
1978-12-01,31.703229999999998
1979-01-01,31.95445
1979-02-01,32.15542
1979-03-01,32.40663
1979-04-01,32.30614
1979-05-01,32.75833
1979-06-01,32.9593
1979-07-01,33.11003
1979-08-01,33.311
1979-09-01,33.51197
1979-10-01,33.71294
1979-11-01,33.86367
1979-12-01,34.16513
1980-01-01,34.26562
1980-02-01,34.56707
1980-03-01,34.91877
1980-04-01,35.019259999999996
1980-05-01,35.27047
1980-06-01,35.67242
1980-07-01,35.97387
1980-08-01,36.375820000000004
1980-09-01,36.67727
1980-10-01,37.07922
1980-11-01,37.5314
1980-12-01,37.78262
1981-01-01,38.084070000000004
1981-02-01,38.28505
1981-03-01,38.5865
1981-04-01,38.98845
1981-05-01,39.23966
1981-06-01,39.44063
1981-07-01,39.6416
1981-08-01,40.04354
1981-09-01,40.345
1981-10-01,40.49573
1981-11-01,40.59621
1981-12-01,40.64646
1982-01-01,41.50059
1982-02-01,41.24937
1982-03-01,41.4001
1982-04-01,41.60107
1982-05-01,41.85229
1982-06-01,42.053259999999995
1982-07-01,42.203990000000005
1982-08-01,42.35471
1982-09-01,42.4552
1982-10-01,42.404959999999996
1982-11-01,42.50544
1982-12-01,42.65617
1983-01-01,42.8069
1983-02-01,43.1586
1983-03-01,43.1586
1983-04-01,43.25909
1983-05-01,43.40981
1983-06-01,43.5103
1983-07-01,43.761509999999994
1983-08-01,43.761509999999994
1983-09-01,44.01273
1983-10-01,44.2137
1983-11-01,44.41467
1983-12-01,44.5654
1984-01-01,44.76637
1984-02-01,44.81661
1984-03-01,45.017590000000006
1984-04-01,45.11807
1984-05-01,45.16831
1984-06-01,45.36929
1984-07-01,45.469770000000004
1984-08-01,45.67074
1984-09-01,45.82147
1984-10-01,45.9722
1984-11-01,46.17317
1984-12-01,46.3239
1985-01-01,46.575109999999995
1985-02-01,46.6756
1985-03-01,46.82633
1985-04-01,46.97705
1985-05-01,47.07754
1985-06-01,47.17803
1985-07-01,47.32875
1985-08-01,47.379
1985-09-01,47.42924
1985-10-01,47.52973
1985-11-01,47.68045
1985-12-01,47.98191
