DATE,FPCPITOTLZGJPN
1960-01-01,3.5745115253591
1961-01-01,5.36846178480055
1962-01-01,6.8354403481973
1963-01-01,6.7069055639799
1964-01-01,3.80038945305753
1965-01-01,6.65599094260621
1966-01-01,5.04083205887676
1967-01-01,3.98984808881518
1968-01-01,5.33943295739344
1969-01-01,5.24982091102027
1970-01-01,6.92417383485781
1971-01-01,6.39534883720926
1972-01-01,4.84351713859905
1973-01-01,11.6086235489221
1974-01-01,23.2222458076842
1975-01-01,11.7312661498708
1976-01-01,9.37403638606234
1977-01-01,8.16182689596842
1978-01-01,4.20956601068681
1979-01-01,3.70185092546269
1980-01-01,7.77858176555718
1981-01-01,4.91216291820523
1982-01-01,2.7410409556314
1983-01-01,1.89971971348485
1984-01-01,2.26161369193155
1985-01-01,2.0322773460849
1986-01-01,0.595586799453249
1987-01-01,0.126176841696583
1988-01-01,0.678557580457558
1989-01-01,2.27228962064317
1990-01-01,3.0785162869516
1991-01-01,3.25143848753308
1992-01-01,1.7602830605927
1993-01-01,1.24304589707924
1994-01-01,0.695458057869004
1995-01-01,-0.127899045020446
1996-01-01,0.136600358575909
1997-01-01,1.74780458692133
1998-01-01,0.661974191385911
1999-01-01,-0.341296928327554
2000-01-01,-0.676578683595175
2001-01-01,-0.740055504162738
2002-01-01,-0.923494026942321
2003-01-01,-0.256541816316025
2004-01-01,-0.00857338820310272
2005-01-01,-0.282946068764391
2006-01-01,0.249355116079085
2007-01-01,0.060039454498669
2008-01-01,1.3800788616492
2009-01-01,-1.35283672951719
2010-01-01,-0.728243207517779
2011-01-01,-0.27245561610124
2012-01-01,-0.0440645104432602
2013-01-01,0.335037912184741
2014-01-01,2.75922671353253
2015-01-01,0.795279630579839
2016-01-01,-0.127258844489754
2017-01-01,0.484199796126385
2018-01-01,0.989094598021848
2019-01-01,0.46877615938395
2020-01-01,-0.024995834027731
2021-01-01,-0.233352779398264
2022-01-01,2.49770278172255
2023-01-01,3.26813365933163
