observation_date,IRSTCI01JPM156N
1985-07-01,6.4166999999999996263
1985-08-01,6.2476000000000002643
1985-09-01,6.4972000000000003084
1985-10-01,6.6600000000000001421
1985-11-01,7.4184999999999998721
1985-12-01,8.2424999999999997158
1986-01-01,7.0454999999999996518
1986-02-01,6.0255999999999998451
1986-03-01,5.7552000000000003155
1986-04-01,4.9660999999999999588
1986-05-01,4.3983999999999996433
1986-06-01,4.5233999999999996433
1986-07-01,4.6298000000000003595
1986-08-01,4.6771000000000002572
1986-09-01,4.7584999999999997300
1986-10-01,4.5365000000000001990
1986-11-01,3.9047999999999998266
1986-12-01,4.3150000000000003908
1987-01-01,4.3304000000000000270
1987-02-01,4.2767999999999997129
1987-03-01,3.9921999999999999709
1987-04-01,3.7147000000000001130
1987-05-01,3.2955000000000000959
1987-06-01,3.3073000000000001286
1987-07-01,3.2949999999999999289
1987-08-01,3.3151000000000001577
1987-09-01,3.5142000000000002125
1987-10-01,3.5000000000000000000
1987-11-01,3.5268000000000001570
1987-12-01,3.9575000000000000178
1988-01-01,3.6993999999999997996
1988-02-01,3.5851999999999999424
1988-03-01,3.7734000000000000874
1988-04-01,3.4946000000000001506
1988-05-01,3.4643000000000001570
1988-06-01,3.5937999999999998835
1988-07-01,3.8645999999999998131
1988-08-01,3.9799999999999999822
1988-09-01,4.0852000000000003865
1988-10-01,4.1711999999999997968
1988-11-01,3.9432000000000000384
1988-12-01,4.3624999999999998224
1989-01-01,4.0937500000000000000
1989-02-01,4.1792800000000003280
1989-03-01,4.2542599999999994864
1989-04-01,4.4203099999999997394
1989-05-01,4.6749999999999998224
1989-06-01,5.1377800000000002356
1989-07-01,5.2247000000000003439
1989-08-01,5.3804300000000004900
1989-09-01,5.4312500000000003553
1989-10-01,6.0089300000000003266
1989-11-01,6.1515599999999999170
1989-12-01,6.4479199999999998738
1990-01-01,6.5805899999999990513
1990-02-01,6.6430899999999990513
1990-03-01,6.8169600000000007967
1990-04-01,7.1624999999999996447
1990-05-01,7.2589300000000003266
1990-06-01,7.3645800000000001262
1990-07-01,7.5241499999999996717
1990-08-01,7.5434800000000015174
1990-09-01,7.7631600000000018369
1990-10-01,7.8110799999999995791
1990-11-01,8.0765600000000006276
1990-12-01,8.2296899999999997277
1991-01-01,8.0542800000000003280
1991-02-01,8.1200700000000001211
1991-03-01,8.2781300000000008765
1991-04-01,8.2336299999999997823
1991-05-01,8.0327399999999986591
1991-06-01,8.0406300000000001660
1991-07-01,7.4606000000000003425
1991-08-01,7.4843800000000015871
1991-09-01,7.0493399999999990513
1991-10-01,6.8579499999999997684
1991-11-01,6.3828100000000000946
1991-12-01,6.3095200000000000173
1992-01-01,5.5263200000000001211
1992-02-01,5.6825700000000001211
1992-03-01,5.6532700000000000173
1992-04-01,4.7663699999999993295
1992-05-01,4.7450700000000001211
1992-06-01,4.7528399999999999537
1992-07-01,4.5312500000000000000
1992-08-01,4.1190499999999996561
1992-09-01,4.2265600000000000946
1992-10-01,4.0738599999999998147
1992-11-01,3.9457200000000001161
1992-12-01,3.8948900000000001853
1993-01-01,3.8996699999999990816
1993-02-01,3.2763200000000001211
1993-03-01,3.2418499999999998984
1993-04-01,3.1785700000000001175
1993-05-01,3.2065999999999998948
1993-06-01,3.2142900000000000915
1993-07-01,3.2627799999999997915
1993-08-01,3.1292599999999999305
1993-09-01,2.8578099999999997394
1993-10-01,2.5078099999999996506
1993-11-01,2.4953099999999999170
1993-12-01,2.4419599999999999085
1994-01-01,2.3312499999999998224
1994-02-01,2.2401299999999997326
1994-03-01,2.2500000000000000000
1994-04-01,2.1749999999999998224
1994-05-01,2.0904600000000002069
1994-06-01,2.0625000000000000000
1994-07-01,2.0818500000000002004
1994-08-01,2.1304300000000000459
1994-09-01,2.1890600000000000058
1994-10-01,2.2374999999999998224
1994-11-01,2.2671900000000002606
1994-12-01,2.2931499999999997996
1995-01-01,2.2500000000000000000
1995-02-01,2.2171899999999999942
1995-03-01,2.1889199999999999768
1995-04-01,1.5249999999999999112
1995-05-01,1.3132500000000000284
1995-06-01,1.2790900000000000603
1995-07-01,0.9466700000000000115
1995-08-01,0.8817399999999999682
1995-09-01,0.5735000000000000098
1995-10-01,0.4666699999999999737
1995-11-01,0.4605000000000000204
1995-12-01,0.4590500000000000136
1996-01-01,0.4663199999999999013
1996-02-01,0.4579999999999999072
1996-03-01,0.4555000000000000160
1996-04-01,0.4857099999999999751
1996-05-01,0.4685699999999999865
1996-06-01,0.4714999999999999747
1996-07-01,0.4821699999999999875
1996-08-01,0.4440899999999999848
1996-09-01,0.4678899999999999726
1996-10-01,0.4749999999999999778
1996-11-01,0.4769999999999999796
1996-12-01,0.4859999999999999876
1997-01-01,0.4842099999999999738
1997-02-01,0.4952599999999999780
1997-03-01,0.5100000000000000089
1997-04-01,0.4961899999999999089
1997-05-01,0.4861899999999999000
1997-06-01,0.4957099999999999840
1997-07-01,0.4927300000000000013
1997-08-01,0.4847600000000000242
1997-09-01,0.4979999999999999982
1997-10-01,0.4799999999999999822
1997-11-01,0.4911099999999999910
1997-12-01,0.3942899999999999738
1998-01-01,0.4352599999999999802
1998-02-01,0.4336800000000000099
1998-03-01,0.4309100000000000152
1998-04-01,0.4433300000000000018
1998-05-01,0.4278899999999998816
1998-06-01,0.4368199999999999861
1998-07-01,0.4131799999999999917
1998-08-01,0.4271399999999999086
1998-09-01,0.3215000000000000080
1998-10-01,0.2354499999999999926
1998-11-01,0.2015800000000000092
1998-12-01,0.2509500000000000064
1999-01-01,0.2252599999999999880
